first_name,last_name,team,nationality,age,uci_ranking,speciality,price,category,profile_url
Mathieu,Van Der Poel,Alpecin-Premier Tech,,,8,CLASSICS,11.2,CLASSICS,https://www.procyclingstats.com/rider/mathieu-van-der-poel
Jasper,Philipsen,Alpecin-Premier Tech,,,20,SPRINTER,8.65,SPRINTER,https://www.procyclingstats.com/rider/jasper-philipsen
Kaden,Groves,Alpecin-Premier Tech,,,82,SPRINTER,4.88,SPRINTER,https://www.procyclingstats.com/rider/kaden-groves
Tibor,Del Grosso,Alpecin-Premier Tech,,,86,ROULEUR,4.8,ROULEUR,https://www.procyclingstats.com/rider/tibor-del-grosso
Gerben,Thijssen,Alpecin-Premier Tech,,,317,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/gerben-thijssen
Simon,Dehairs,Alpecin-Premier Tech,,,321,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/simon-dehairs
Francesco,Busatto,Alpecin-Premier Tech,,,334,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/francesco-busatto
Jensen,Plowright,Alpecin-Premier Tech,,,379,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/jensen-plowright
Edward,Planckaert,Alpecin-Premier Tech,,,382,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/edward-planckaert
Henri,Uhlig,Alpecin-Premier Tech,,,507,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/henri-uhlig
Luca,Vergallito,Alpecin-Premier Tech,,,514,CLIMBER,4.0,CLIMBER,https://www.procyclingstats.com/rider/luca-vergallito
Ramses,Debruyne,Alpecin-Premier Tech,,,543,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/ramses-debruyne
Jonas,Geens,Alpecin-Premier Tech,,,549,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/jonas-geens
Hugo,Houle,Alpecin-Premier Tech,,,602,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/hugo-houle
Emiel,Verstrynge,Alpecin-Premier Tech,,,608,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/emiel-verstrynge
Jonas,Rickaert,Alpecin-Premier Tech,,,613,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/jonas-rickaert
Gal,Glivar,Alpecin-Premier Tech,,,652,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/gal-glivar
Senna,Remijn,Alpecin-Premier Tech,,,687,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/senna-remijn
Tim,Marsman,Alpecin-Premier Tech,,,722,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/tim-marsman
Silvan,Dillier,Alpecin-Premier Tech,,,766,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/silvan-dillier
Tobias,Bayer,Alpecin-Premier Tech,,,801,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/tobias-bayer
Sente,Sentjens,Alpecin-Premier Tech,,,853,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/sente-sentjens
Oscar,Riesebeek,Alpecin-Premier Tech,,,910,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/oscar-riesebeek
Johan,Price-Pejtersen,Alpecin-Premier Tech,,,915,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/johan-price-pejtersen
Florian,Sénéchal,Alpecin-Premier Tech,,,1004,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/florian-senechal
Michael,Gogl,Alpecin-Premier Tech,,,1458,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/michael-gogl
Aaron,Dockx,Alpecin-Premier Tech,,,1765,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/aaron-dockx
Maurice,Ballerstedt,Alpecin-Premier Tech,,,1897,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/maurice-ballerstedt
Lennert,Belmans,Alpecin-Premier Tech,,,2215,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/lennert-belmans
Lindsay,De Vylder,Alpecin-Premier Tech,,,2361,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/lindsay-de-vylder
Ben,Healy,EF Education - EasyPost,,,22,CLIMBER,8.35,CLIMBER,https://www.procyclingstats.com/rider/ben-healy
Neilson,Powless,EF Education - EasyPost,,,41,CLIMBER,6.3,CLIMBER,https://www.procyclingstats.com/rider/neilson-powless
Richard,Carapaz,EF Education - EasyPost,,,50,GC,5.58,GC,https://www.procyclingstats.com/rider/richard-carapaz
Marijn,Van Den Berg,EF Education - EasyPost,,,142,ROULEUR,4.295,ROULEUR,https://www.procyclingstats.com/rider/marijn-van-den-berg
Mikkel,Frølich Honoré,EF Education - EasyPost,,,177,ROULEUR,4.12,ROULEUR,https://www.procyclingstats.com/rider/mikkel-honore
Madis,Mihkels,EF Education - EasyPost,,,208,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/madis-mihkels
Vincenzo,Albanese,EF Education - EasyPost,,,214,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/vincenzo-albanese
Harry,Sweeny,EF Education - EasyPost,,,243,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/harry-sweeny
Alex,Baudin,EF Education - EasyPost,,,256,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/alex-baudin
Luke,Lamperti,EF Education - EasyPost,,,257,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/luke-lamperti
Archie,Ryan,EF Education - EasyPost,,,300,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/archie-ryan
Lukas,Nerurkar,EF Education - EasyPost,,,340,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/lukas-nerurkar
Kasper,Asgreen,EF Education - EasyPost,,,352,CLASSICS,4.0,CLASSICS,https://www.procyclingstats.com/rider/kasper-asgreen
James,Shaw,EF Education - EasyPost,,,407,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/james-shaw
Georg,Steinhauser,EF Education - EasyPost,,,428,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/georg-steinhauser
Michael,Leonard,EF Education - EasyPost,,,472,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/michael-leonard1
Michael,Valgren,EF Education - EasyPost,,,482,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/michael-valgren-andersen
Jefferson,Alexander Cepeda,EF Education - EasyPost,,,491,ROULEUR,4.0,ROULEUR,https://www.procyclingstats.com/rider/jefferson-alexander-cepeda
