first_name,last_name,team,nationality,age,uci_ranking,speciality,price,category
Tadej,Pogačar,UAE Team Emirates-XRG,SLO,26,1,GC,15.0,GC
Jonas,Vingegaard,Team Visma-Lease a Bike,DEN,28,2,GC,14.0,GC
Remco,Evenepoel,Red Bull-BORA-hansgrohe,BEL,25,3,GC,13.0,GC
Primož,Roglič,Red Bull-BORA-hansgrohe,SLO,35,4,GC,12.0,GC
Mathieu,van der Poel,Alpecin-Premier Tech,NED,30,5,Classics,14.0,CLASSICS
Wout,van Aert,Team Visma-Lease a Bike,BEL,30,6,Classics,13.0,CLASSICS
Jasper,Philipsen,Alpecin-Premier Tech,BEL,27,7,Sprint,11.0,SPRINTER
Jonathan,Milan,Lidl-Trek,ITA,24,8,Sprint,10.0,SPRINTER
Biniam,Girmay,Lidl-Trek,ERI,25,9,Sprint,10.0,SPRINTER
Mads,Pedersen,Lidl-Trek,DEN,29,10,Classics,10.0,CLASSICS
João,Almeida,UAE Team Emirates-XRG,POR,26,11,GC,10.0,GC
Juan,Ayuso,UAE Team Emirates-XRG,ESP,22,12,GC,10.0,GC
Matteo,Jorgenson,Team Visma-Lease a Bike,USA,25,13,GC,9.5,GC
Marc,Hirschi,UAE Team Emirates-XRG,SUI,26,14,Climber,9.0,CLIMBER
Tim,Merlier,Soudal Quick-Step,BEL,32,15,Sprint,9.0,SPRINTER
Christophe,Laporte,Team Visma-Lease a Bike,FRA,32,16,Rouleur,8.5,ROULEUR
Tom,Pidcock,Pinarello-Q36.5,GBR,26,17,Classics,9.0,CLASSICS
Arnaud,De Lie,Lotto-Intermarché,BEL,22,18,Sprint,8.5,SPRINTER
Olav,Kooij,Team Visma-Lease a Bike,NED,23,19,Sprint,8.5,SPRINTER
Carlos,Rodríguez,INEOS Grenadiers,ESP,24,20,GC,8.5,GC
Adam,Yates,UAE Team Emirates-XRG,GBR,32,21,GC,8.0,GC
Ben,Healy,EF Education-EasyPost,IRL,24,22,Climber,8.0,CLIMBER
Sepp,Kuss,Team Visma-Lease a Bike,USA,30,23,Climber,8.0,CLIMBER
Richard,Carapaz,EF Education-EasyPost,ECU,31,24,GC,8.0,GC
Romain,Grégoire,Groupama-FDJ United,FRA,22,25,Rouleur,7.5,ROULEUR
Jay,Vine,UAE Team Emirates-XRG,AUS,29,26,Climber,7.5,CLIMBER
Lenny,Martinez,Groupama-FDJ United,FRA,21,27,Climber,7.5,CLIMBER
David,Gaudu,Groupama-FDJ United,FRA,28,28,Climber,7.5,CLIMBER
Neilson,Powless,EF Education-EasyPost,USA,28,29,Climber,7.5,CLIMBER
Enric,Mas,Movistar Team,ESP,30,30,GC,7.5,GC
Cian,Uijtdebroeks,Red Bull-BORA-hansgrohe,BEL,22,31,GC,7.0,GC
Pello,Bilbao,Bahrain Victorious,ESP,35,32,Climber,7.0,CLIMBER
Mikel,Landa,Soudal Quick-Step,ESP,35,33,Climber,7.0,CLIMBER
Julian,Alaphilippe,Soudal Quick-Step,FRA,33,34,Classics,7.0,CLASSICS
Egan,Bernal,INEOS Grenadiers,COL,28,35,GC,7.0,GC
Kasper,Asgreen,Soudal Quick-Step,DEN,30,36,Classics,6.5,CLASSICS
Giulio,Ciccone,Lidl-Trek,ITA,30,37,Climber,6.5,CLIMBER
Tao,Geoghegan Hart,Lidl-Trek,GBR,30,38,GC,6.5,GC
Simon,Yates,Team Jayco-AlUla,GBR,32,39,GC,6.5,GC
Geraint,Thomas,INEOS Grenadiers,GBR,39,40,GC,6.5,GC
Michael,Matthews,Team Jayco-AlUla,AUS,30,41,Sprint,6.0,SPRINTER
